variant,nfeat,val_men_ll,val_men_acc,ho_men_ll,ho_men_acc,d_val_ll,d_val_acc,d_ho_acc
baseline_240,240,0.6157326723687149,0.6713055003313452,0.6369731247741631,0.619815668202765,0.0,0.0,0.0
drop momentum-8,232,0.6153223744293077,0.6673293571901923,0.6356837437473386,0.6129032258064516,-0.0004102979394071671,-0.00397614314115291,-0.00691244239631339
drop perm<-0.0005 (17),223,0.6173482131275865,0.6640159045725647,0.6317602314094283,0.6205837173579108,0.001615540758871603,-0.0072895957587805205,0.0007680491551458335
drop perm<-0.0003 (36),204,0.6165693279574141,0.6633532140490391,0.6285523077835748,0.6282642089093703,0.0008366555886992755,-0.007952286282306043,0.008448540706605279
core only perm>0.0005 (36),36,0.6100959796656628,0.6898608349900597,0.631092354402779,0.6190476190476191,-0.005636692703052115,0.018555334658714506,-0.0007680491551459445
