red_fighter,red_odds,blue_fighter,blue_odds,weight_class,gender,rounds,elevation
Jeremiah Wells,+316,Myktybek Orolbai,-400,Welterweight,Men,3,20


red_fighter,red_odds,blue_fighter,blue_odds,weight_class,gender,rounds,elevation

Anthony Hernandez,-174,Gregory Rodrigues,+148,Middleweight,Men,5,30 ... (26)
Serghei Spivac,+132,Vitor Petrino,-155,Heavyweight,Men,3,30
Reinier de Ridder,-395,Roman Dolidze,+316,Light Heavyweight,Men,3,30
MarQuel Mederos,+228,Mason Jones,-275,Lightweight,Men,3,30
Carli Judice,-559,Jeisla Chaves,+426,Women's Flyweight,Women,3,30
Anthony Wint,-1000,Terrance Chatman,+673,Heavyweight,Men,3,30
Jamall Emmers,+298,Lerryan Douglas,-370,Featherweight,Men,3,30
Kennedy Nzechukwu,+107,Shamil Gaziev,-125,Heavyweight,Men,3,30
Chris Padilla,+102,Nasrat Haqparast,-119,Lightweight,Men,3,30
Marcio Barbosa,-925,Ryan Kuse,+635,Featherweight,Men,3,30
Gauge Young,-126,Stan Dorsainvil,+108,Lightweight,Men,3,30
Wes Schultz,+161,Jackson McVey,-190,Middleweight,Men,3,30
Shanelle Dyer,-750,Elise Reed,+541,Women's Strawweight,Women,3,30


red_fighter,red_odds,blue_fighter,blue_odds,weight_class,gender,rounds,elevation

Song Yadong,+482,Umar Nurmagomedov,-625,Bantamweight,Men,5,33
Denise Gomes,+133,Yan Xiaonan,-153,Women's Strawweight,Women,3,33
Kai Asakura,-455,Aoriqileng,+367,Bantamweight,Men,3,33
Sumudaerji,-212,Alex Perez,+182,Flyweight,Men,3,33
Liu Ce,-184,Levi Rodrigues Jr.,+159,Light Heavyweight,Men,3,33
Bilal Hasan,-760,Nilson Rojas,+566,Flyweight,Men,3,33
Andre Lima,-262,Namsrai Batbayar,+223,Flyweight,Men,3,33
Rei Tsuruya,-816,Kevin Borjas,+599,Flyweight,Men,3,33
Sean Woodson,-147,Jack Jenkins,+128,Featherweight,Men,3,33
Francesco Nuzzi,+146,Xiao Long,-169,Bantamweight,Men,3,33
Hector Santiago,+240,Lawrence Lui,-284,Bantamweight,Men,3,33
Julia Polastri,-231,Xiong Jingnan,+202,Women's Strawweight,Women,3,33
Cam Nelson,+137,Ding Meng,-155,Welterweight,Men,3,33
