K,val_men_ll,val_men_acc,ho_men_ll,ho_men_acc,d_val_ll,d_val_acc,d_ho_ll,d_ho_acc
240,0.6143156176700375,0.6706428098078198,0.6360406502531142,0.6144393241167435,0.0,0.0,0.0,0.0
120,0.6159338220555222,0.6587143803843605,0.6369931713654414,0.6059907834101382,0.0016182043854846562,-0.011928429423459286,0.0009525211123272426,-0.008448540706605279
80,0.6148488607826686,0.659377070907886,0.6400240069924991,0.609062980030722,0.0005332431126311432,-0.011265738899933764,0.00398335673938488,-0.005376344086021501
60,0.6170652969394855,0.660702451954937,0.6405901221870415,0.6098310291858678,0.0027496792694480243,-0.00994035785288272,0.004549471933927296,-0.004608294930875667
40,0.6191207040459105,0.6646785950960901,0.6489304959405428,0.6059907834101382,0.004805086375872958,-0.005964214711729698,0.01288984568742857,-0.008448540706605279
30,0.6233840926279268,0.6587143803843606,0.6408743259746731,0.6159754224270353,0.009068474957889316,-0.011928429423459175,0.0048336757215589055,0.001536098310291778
20,0.6177205411620237,0.6713055003313452,0.6417619865979349,0.6113671274961597,0.003404923491986178,0.000662690523525411,0.005721336344820749,-0.003072196620583778
